Name,UniProt ID,Oxidized 24h,Reduced 24h,P-value 24h,Difference 24h,P-value (log) 24h,Significant 24h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 48h,Reduced 48h,P-value 48h,Difference 48h,P-value (log) 48h,Significant 48h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 72h,Reduced 72h,P-value 72h,Difference 72h,P-value (log) 72h,Significant 72h,Abundance Check Oxidized,Abundance Check Reduced,General abundance check,,
AAC1,P04710,11.7208,12.126,0.25379,-0.4052,0.595525494,-,More,More,11.6859,12.1517,0.23573,-0.4658,0.627585144,-,More,More,11.824,12.1113,0.39728,-0.2873,0.400903298,-,More,More,All above average,FALSE,FALSE
AAC3,P18238,10.4555,9.9171,0.12942,0.5384,0.887998605,-,More,More,9.8891,10.6533,0.051757,-0.7642,1.286030905,-,More,More,10.1016,10.6035,0.13916,-0.5019,0.85648558,-,More,More,All above average,FALSE,FALSE
AAD3,P25612,9.7502,9.0082,0.07441,0.742,1.128368695,-,More,More,9.64,9.466,0.71401,0.174,0.146295706,-,More,More,9.1942,8.659,0.18458,0.5352,0.733815358,-,More,More,All above average,FALSE,FALSE
AAD6,P43547,8.7883,8.9877,0.63575,-0.1994,0.196713631,-,More,More,9.4892,8.1022,0.015291,1.387,1.815564112,-,More,More,8.8055,8.4539,0.38343,0.3516,0.41631391,-,More,More,All above average,FALSE,FALSE
AAH1,P53909,6.4363,0,0.25248,6.4363,0.597773018,-,Less,Less,3.2943,0,0.40389,3.2943,0.393736899,-,Less,Less,5.1704,2.4389,0.067687,2.7315,1.169494734,-,Less,Less,FALSE,All Below Average,FALSE
AAP1,P37898 P00856 P38826,8.2204,8.7843,0.18045,-0.5639,0.743643114,-,More,More,8.8248,7.9222,0.1299,0.9026,0.886390849,-,More,More,8.7695,8.0758,0.10873,0.6937,0.963650612,-,More,More,All above average,FALSE,FALSE
AAT1,Q01802,7.5745,7.5512,0.9728,0.0233,0.011976438,-,More,More,6.7066,7.9099,0.056634,-1.2033,1.246922764,-,More,More,7.5528,8.1674,0.17094,-0.6146,0.7671563,-,More,More,All above average,FALSE,FALSE
AAT2,P23542,0,0,0,0,0,-,Less,Less,2.6052,0,0.27618,2.6052,0.558807775,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
ABF2,Q02486,0,0,0,0,0,-,Less,Less,4.0227,0,0.30808,4.0227,0.511336494,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
ABP1,P15891,3.0618,0,0.46014,3.0618,0.337110012,-,Less,Less,4.7057,3.949,0.65223,0.7567,0.185599229,-,Less,Less,3.7507,5.2391,0.38716,-1.4884,0.412109519,-,Less,Less,FALSE,All Below Average,FALSE
