Significant,pvalue,Difference,Protein IDs,Majority protein IDs,uniprot,Symbol color,Symbol type,Symbol size,Show label,GOBP name,GOMF name,GOCC name,Taxonomy,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS Count,oxidized 48h a LFQ,oxidized 72h a LFQ,oxidized 48h b LFQ,oxidized 72h b LFQ,oxidized 48h c LFQ,oxidized 72h c LFQ,reduced 48h a LFQ,reduced 72h a LFQ,reduced 48h b LFQ,reduced 72h b2 LFQ,reduced 48h c LFQ,reduced 72h c LFQ
+,1.499769538,-0.761457011,sp|P00127|QCR6_YEAST,sp|P00127|QCR6_YEAST,P00127,Color [DarkGray],1,4,,"catalytic activity;cation transmembrane transporter activity;hydrogen ion transmembrane transporter activity;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;oxidoreductase activity;oxidoreductase activity, acting on diphenols and related substances as donors;oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity;ubiquinol-cytochrome-c reductase activity",cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;membrane-enclosed lumen;mitochondrial intermembrane space;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex III;organelle envelope lumen;organelle part;protein complex;respiratory chain complex III,cellular metabolic process;cellular process;cellular respiration;generation of precursor metabolites and energy;metabolic process,QCR6_YEAST,2,2,2,32,32,32,17.257,0,113.38,1302500000,54,-0.6766798,-0.8376343,-0.7311553,-0.3718438,-0.7935776,-0.7871773,-0.1588588,0.08110514,-0.514487,-0.2130544,0.0508135,0.4196649
+,1.832060336,0.705347836,sp|P20435|RPAB2_YEAST,sp|P20435|RPAB2_YEAST,P20435,Color [DarkGray],1,4,,"binding;catalytic activity;DNA binding;DNA-directed RNA polymerase activity;nucleic acid binding;nucleotidyltransferase activity;RNA polymerase activity;RNA polymerase I activity;transferase activity;transferase activity, transferring phosphorus-containing groups","cell part;cytoplasm;DNA-directed RNA polymerase complex;DNA-directed RNA polymerase I complex;DNA-directed RNA polymerase II, core complex;DNA-directed RNA polymerase III complex;intracellular organelle part;intracellular part;macromolecular complex;nuclear DNA-directed RNA polymerase complex;nuclear part;nucleolar part;nucleoplasm;nucleoplasm part;organelle part;protein complex;RNA polymerase complex",biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;ribosome biogenesis;RNA metabolic process;transcription from RNA polymerase I promoter;transcription from RNA polymerase II promoter;transcription from RNA polymerase III promoter,RPAB2_YEAST,4,4,4,32.3,32.3,32.3,17.91,0,74.779,415090000,45,-0.9285673,-0.5166217,-0.403298,-0.4861695,-0.4270091,-0.4621189,-1.226414,-0.9504367,-1.61963,-1.107395,-1.296424,-1.523122
+,2.203986067,1.341364165,sp|P21306|ATP5E_YEAST,sp|P21306|ATP5E_YEAST,P21306,Color [DarkGray],1,4,+,"active transmembrane transporter activity;ATPase activity;ATPase activity, coupled;ATPase activity, coupled to movement of substances;ATPase activity, coupled to transmembrane movement of ions;ATPase activity, coupled to transmembrane movement of substances;catalytic activity;cation transmembrane transporter activity;cation-transporting ATPase activity;hydrogen ion transmembrane transporter activity;hydrogen ion transporting ATP synthase activity, rotational mechanism;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;nucleoside-triphosphatase activity;P-P-bond-hydrolysis-driven transmembrane transporter activity;primary active transmembrane transporter activity;proton-transporting ATPase activity, rotational mechanism;pyrophosphatase activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity","cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial proton-transporting ATP synthase, central stalk;organelle part;protein complex;proton-transporting ATP synthase, central stalk",biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;establishment of localization;heterocycle metabolic process;hydrogen transport;ion transport;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleotide metabolic process;primary metabolic process;small molecule metabolic process;transmembrane transport;transport,ATP5E_YEAST,4,4,4,62.9,62.9,62.9,6.7425,0,55.271,1371600000,46,-0.5276479,-0.8909813,-0.3981375,-0.5262328,-0.4675904,-0.8411958,-1.753222,-2.12555,-2.026765,-2.472418,-1.731592,-1.684535
+,3.87540862,1.041107208,sp|P33317|DUT_YEAST,sp|P33317|DUT_YEAST,P33317,Color [DarkGray],1,4,+,"binding;catalytic activity;cation binding;dITP diphosphatase activity;dUTP diphosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ion binding;metal ion binding;nucleoside-triphosphate diphosphatase activity;pyrophosphatase activity",,biosynthetic process;catabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound catabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleotide metabolic process;primary metabolic process;small molecule metabolic process,DUT_YEAST,4,4,4,30.6,30.6,30.6,15.307,0,67.852,453900000,32,-0.5741876,-0.3785594,-0.05062286,-0.5280877,-0.4694692,-0.3223167,-0.8438649,-1.387343,-1.798665,-1.517681,-1.169224,-1.447261
+,1.39837826,0.626461148,sp|P19073|CDC42_YEAST,sp|P19073|CDC42_YEAST,P19073,Color [DarkGray],1,4,,"binding;catalytic activity;GTP binding;GTPase activity;guanyl nucleotide binding;guanyl ribonucleotide binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",cell cortex part;cell part;cell projection part;cellular bud neck;cellular bud tip;cytoplasmic part;cytoskeletal part;cytoskeleton;fungal-type vacuole membrane;incipient cellular bud site;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;mating projection tip;membrane;non-membrane-bounded organelle;nuclear membrane;nuclear part;organelle;organelle membrane;organelle part;plasma membrane;septin cytoskeleton;septin ring;site of polarized growth;vacuolar membrane;vacuolar part,biological regulation;cell cycle;cellular component organization;cellular process;conjugation;conjugation with cellular fusion;cytoskeleton organization;establishment or maintenance of cell polarity;filamentous growth;growth;growth of unicellular organism as a thread of attached cells;invasive growth in response to glucose limitation;metabolic process;multi-organism process;organelle organization;regulation of cell cycle;regulation of mitotic cell cycle;regulation of organelle organization;regulation of transport;reproduction;response to stimulus;signal transduction,CDC42_YEAST,5,5,5,26.2,26.2,26.2,21.322,0,23.3,975510000,58,-0.7974187,-0.8855811,-0.4730806,-0.7884876,-0.878892,-0.8357282,-1.47694,-1.518568,-1.298876,-1.790537,-1.651121,-1.080076
+,1.948290182,-0.652429943,sp|P37299|QCR10_YEAST,sp|P37299|QCR10_YEAST,P37299,Color [DarkGray],1,4,,,cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex III;organelle part;protein complex;respiratory chain complex III,cellular metabolic process;cellular process;cellular respiration;generation of precursor metabolites and energy;metabolic process,QCR10_YEAST,6,6,6,55.8,55.8,55.8,8.5928,0,55.09,2171800000,102,0.1696361,-0.4111257,-0.5912158,-0.2417042,-0.9548917,-0.6983529,0.04237052,0.2918226,0.2200519,0.2293288,0.2874009,0.08495569
+,2.856040008,0.711378733,sp|P38256|YBU6_YEAST,sp|P38256|YBU6_YEAST,P38256,Color [DarkGray],1,4,+,,,,YBU6_YEAST,6,6,6,37.8,37.8,37.8,27.092,0,19.637,478400000,48,-1.159193,-0.5185002,-0.6401561,-0.7136027,-0.6573817,-0.756363,-1.69415,-1.479263,-1.493968,-1.318811,-1.391794,-1.324528
+,1.71420442,-0.496246825,sp|P50861|RIB4_YEAST,sp|P50861|RIB4_YEAST,P50861,Color [DarkGray],1,4,,"6,7-dimethyl-8-ribityllumazine synthase activity;catalytic activity;intramolecular transferase activity;intramolecular transferase activity, transferring acyl groups;isomerase activity;transferase activity",cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane-enclosed lumen;mitochondrial intermembrane space;mitochondrial part;organelle envelope lumen;organelle part;protein complex;riboflavin synthase complex,biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;small molecule metabolic process;vitamin metabolic process,RIB4_YEAST,7,7,7,74,74,74,18.555,0,171.11,2148900000,99,-1.440748,-0.7595749,-1.10532,-1.123407,0.4331356,-0.7884966,-0.5850236,-0.2767386,-0.4413851,-0.4372275,-1.080328,-0.4687724
+,2.228449896,0.71408089,sp|P32804|ZRT1_YEAST,sp|P32804|ZRT1_YEAST,P32804,Color [DarkGray],1,4,+,cation transmembrane transporter activity;divalent inorganic cation transmembrane transporter activity;high affinity zinc uptake transmembrane transporter activity;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;metal ion transmembrane transporter activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transition metal ion transmembrane transporter activity;transmembrane transporter activity;transporter activity;zinc ion transmembrane transporter activity,cell part;integral to membrane;integral to plasma membrane;intrinsic to membrane;intrinsic to plasma membrane;membrane part;plasma membrane part,cellular process;establishment of localization;ion transport;transmembrane transport;transport,ZRT1_YEAST,8,8,8,25.8,25.8,25.8,41.581,0,86.173,1280300000,56,-0.5715953,-0.7677578,-0.7200324,-0.8493606,-0.6180885,-1.022861,-0.644354,-1.37415,-0.6519647,-1.721853,-0.3801819,-1.68622
+,2.149319141,0.611647268,sp|P53163|MNP1_YEAST,sp|P53163|MNP1_YEAST,P53163,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytoplasmic part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;mitochondrial nucleoid;mitochondrial part;non-membrane-bounded organelle;nucleoid;organelle;organelle part;ribonucleoprotein complex;ribosome,biosynthetic process;cellular metabolic process;cellular process;cellular respiration;generation of precursor metabolites and energy;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,MNP1_YEAST,8,8,8,39.7,39.7,39.7,20.65,0,108.4,623190000,53,-0.7149366,-0.9072722,-0.8434545,-1.118303,-0.2334477,-0.708617,-1.072595,-1.494413,-1.729814,-1.506759,-0.7487961,-1.567962
+,1.603438216,0.587631504,sp|Q6Q560|ISD11_YEAST,sp|Q6Q560|ISD11_YEAST,Q6Q560,Color [DarkGray],1,4,,,cell part;cytoplasmic part;extrinsic to membrane;extrinsic to mitochondrial inner membrane;extrinsic to organelle membrane;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane part;membrane-enclosed lumen;mitochondrial matrix;mitochondrial membrane part;mitochondrial part;organelle lumen;organelle part,biosynthetic process;cellular metabolic process;cellular process;cofactor metabolic process;metabolic process,ISD11_YEAST,8,8,8,59.6,59.6,59.6,11.266,0,40.401,749970000,43,-1.11728,-0.6860101,-1.302691,-0.9174734,-0.7152476,-0.7268587,-1.542243,-1.661738,-1.591642,-1.160488,-1.947519,-1.271011
+,3.058736023,-1.264467945,sp|P07143|CY1_YEAST,sp|P07143|CY1_YEAST,P07143,Color [DarkGray],1,4,+,"binding;cation binding;electron carrier activity;electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity;heme binding;ion binding;iron ion binding;metal ion binding;tetrapyrrole binding;transition metal ion binding",cell part;cytoplasmic part;cytosol;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-enclosed lumen;mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial membrane;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain;mitochondrial respiratory chain complex III;organelle envelope lumen;organelle inner membrane;organelle membrane;organelle part;protein complex;respiratory chain;respiratory chain complex III,cellular metabolic process;cellular process;generation of precursor metabolites and energy;metabolic process;oxidative phosphorylation;phosphorus metabolic process,CY1_YEAST,9,9,9,40.1,40.1,40.1,34.054,0,258.24,5093200000,239,-0.4584274,-1.072186,-0.9744792,-0.7454348,-1.349823,-0.6935034,0.4073536,0.4051773,0.2898443,0.3052187,0.2652279,0.5718831
